Master in Marketing,EU Business School Barcelona,"Barcelona, Spain"
Master in Bioengineering,Technical University of Liberec,"Liberec, Czech Republic"
Master's Programme in Accounting,Hanken School of Economics,"Helsinki, Finland"
Master’s Program in Choreography,University of the Arts Helsinki,"Helsinki, Finland"
"Master of Design, Interdisciplinary",Emily Carr University of Art + Design,"Vancouver, Canada"
Master's Program in Marketing,Aalto University,"Espoo, Finland"
Master in Languages and Business Relations,Universidade de Aveiro,"Aveiro, Portugal"
Master in Design,Universidade de Aveiro,"Aveiro, Portugal"
Master in Physics and Technology of Lasers,Universidad de Valladolid,"Valladolid, Spain"
Master of Social Work (MSW),University of Otago,"Dunedin, New Zealand"
Master of Finance,Singapore University of Social Sciences,"Singapore (City), Singapore"
Master in Physics,Universidade de Aveiro,"Aveiro, Portugal"
Masters in Landscape Architecture,SLU - Swedish University of Agricultural Sciences,"Alnarp, Sweden"
Masters in Transport Constructions,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master's Programme in Finance,Hanken School of Economics,"Helsinki, Finland"
School Leadership Masters,University of Limerick,"Limerick, Ireland"
Master of Planning (MPlan),University of Otago,"Dunedin, New Zealand"
Master of Marketing (MMKG),Schulich School of Business - York University,"Toronto, Canada"
Master in Multimedia Communication,Universidade de Aveiro,"Aveiro, Portugal"
Masters in Robotics (Service Robotics),VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Masters in Nanotechnology,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master in Finance,EU Business School Barcelona,"Barcelona, Spain"
Master in Cultural Economics and Management,Universidad de Valladolid,"Valladolid, Spain"
Master Economic Analysis,University Carlos III of Madrid,"Getafe, Spain"
Master in Creative Design Management,Turku University of Applied Sciences,"Turku, Finland"
Master of Entrepreneurship (MEntr),University of Otago,"Dunedin, New Zealand"
Master of Bioinformatics,KU Leuven,"Leuven, Belgium"
Master in Sociology,University of Algarve,"Faro, Portugal"
Master in European Studies,International Graduate Center - Hochschule Bremen,"Bremen, Germany"
Master in Anthropology of Latin America,Universidad de Valladolid,"Palencia, Spain"
Master of Laws (LLM),University of Otago,"Dunedin, New Zealand"
Master of Accountancy (MAcc),Hong Kong Baptist University / HKBU,"Hong Kong, China"
Master in Business Management,Turku University of Applied Sciences,"Turku, Finland"
Master of Cybersecurity,KU Leuven,"Leuven, Belgium"
Master of Information Management,KU Leuven,"Leuven, Belgium"
Master in Furniture Design,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Management,EMLV Business School,"Courbevoie, France"
Master of Science in Sustainability,"The Global American University, Schiller","Madrid, Spain"
"Information Technology, Master of Engineering",Metropolia University of Applied Sciences,"Helsinki, Finland"
Master of Politics (MPols),University of Otago,"Dunedin, New Zealand"
Master in Applied Informatics,Universidade de Aveiro,"Aveiro, Portugal"
Master in Industrial Design Engineering,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Nordic Master in Environmental Engineering,Aalto University,"Espoo, Finland"
Master of International Business (MIntBus),University of Otago,"Dunedin, New Zealand"
Master’s in Entrepreneurship & Innovation,Hult International Business School,"San Francisco, United States of America"
Master of Science (MSc) in Geophysics,University of Otago,"Dunedin, New Zealand"
Master's Program in Folk Music,University of the Arts Helsinki,"Helsinki, Finland"
Research Master of Philosophy,KU Leuven,"Leuven, Belgium"
Master of International Studies (MIntSt),University of Otago,"Dunedin, New Zealand"
Master in Visual Art,KdG University of Applied Sciences and Arts,"Antwerp, Belgium"
Master of Engineering,Charles Darwin University,"Darwin, Australia"
Health Management (Master),Cyprus Health and Social Sciences University,"Morphou, Cyprus"
Master in Entrepreneurship,WHU - Otto Beisheim School of Management,"Vallendar, Germany"
Master in Audiovisual Creation and Direction,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Retail Design,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Research Applied to Education,Universidad de Valladolid,"Valladolid, Spain"
Master in Clinical Bioinformatics,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Geography,University of Helsinki,"Helsinki, Finland"
"Business Informatics, Master of Engineering",Metropolia University of Applied Sciences,"Helsinki, Finland"
Master Green Architecture,WINGS - Wismar University (Germany),"Wismar, Germany"
Master in Legal Practice,Universidad de Valladolid,"Valladolid, Spain"
Master´s Degreee in Marketing,Universidad Europea,"Madrid, Spain"
Masters in Agricultural Engineering,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Masters in Electronics,Transport and Telecommunication Institute,"Riga, Latvia"
Master’s Program in Economics,University of Helsinki,"Helsinki, Finland"
Master in Composition,Lithuanian Academy of Music and Theatre,"Vilnius, Lithuania"
Master of Electrical Engineering,KU Leuven,"Leuven, Belgium"
Master of Tourism (MTour),University of Otago,"Dunedin, New Zealand"
Masters in BIM Engineering,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master of Higher Education (MHEd),University of Otago,"Dunedin, New Zealand"
Master's Program in Music Education,University of the Arts Helsinki,"Helsinki, Finland"
"Industrial Management, Master of Engineering",Metropolia University of Applied Sciences,"Helsinki, Finland"
Master of Emergency and Disaster Management,Charles Darwin University,"Darwin, Australia"
"Procurement, Master of Business Administration",Metropolia University of Applied Sciences,"Helsinki, Finland"
Master of Public Health,"Johns Hopkins University, Bloomberg School of Public Health","Baltimore, United States of America"
Master in Accounting and Financial Management,Universidad de Valladolid,"Valladolid, Spain"
Master of Science - Operations Management,HEC Montreal,"Montreal, Canada"
Master of Urbanism,Fontys School of Fine & Performing Arts,"Tilburg, Netherlands"
Master in Data and Design,ELISAVA Barcelona School of Design and Engineering,"Barcelona, Spain"
Master in Educational Research and Innovation,Universidad de Valladolid,"Segovia, Spain"
Master of Biomedical Sciences (MBiomedSc),University of Otago,"Dunedin, New Zealand"
Masters in Building and Industry Construction,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master of Science in Measurement and Evaluation,American University Online,"Washington D.C., United States of America"
Master of Advanced Studies in Economics,KU Leuven,"Leuven, Belgium"
Masters in Information and Communications Security,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master in Medical Statistics,Universidade de Aveiro,"Aveiro, Portugal"
Masters in Building Environment,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master's Program in International Design Business Management - Master of Arts,Aalto University,"Espoo, Finland"
Master in Mechatronics,Kaunas University of Technology,"Kaunas, Lithuania"
Master in Engineering Physics,Universidade de Aveiro,"Aveiro, Portugal"
Master in Aquaculture and Fisheries,University of Algarve,"Faro, Portugal"
Master of Music,"Hanze University of Applied Sciences, Groningen","Groningen, Netherlands"
Master in Environment and Health,Universidade de Aveiro,"Aveiro, Portugal"
Master in Publishing,Universidade de Aveiro,"Aveiro, Portugal"
Master of Space Studies,KU Leuven,"Leuven, Belgium"
Master of Welding Engineering,KU Leuven,"Leuven, Belgium"
Master of Research in Economics,European University Institute (EUI),"Fiesole, Italy"
Master in Music Education,Universidade de Aveiro,"Aveiro, Portugal"
Master's Program in Conducting,University of the Arts Helsinki,"Helsinki, Finland"
Master of Indigenous Studies (MIndS),University of Otago,"Dunedin, New Zealand"
Master in Applied Biology,Universidade de Aveiro,"Aveiro, Portugal"
Master of International Politics,KU Leuven,"Leuven, Belgium"
Master in Data Science,Universidade de Aveiro,"Aveiro, Portugal"
Master in Industrial Engineering,Technical University of Liberec,"Liberec, Czech Republic"
Masters in Building Structures,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master in Corporate Governance & Finance,MCI |The Entrepreneurial School®,"Innsbruck, Austria"
Master in Marketing,Universidade de Aveiro,"Aveiro, Portugal"
Master in International Relations,IE University,"Madrid, Spain"
Master in Management (MA),Saxion University of Applied Sciences,"Deventer, Netherlands"
Master in Sports Law,CIES - International Centre for Sport Studies,"Neuchâtel, Switzerland"
Master in Robotics and Intelligent Systems,Universidade de Aveiro,"Aveiro, Portugal"
Master in Management (MA),Saxion University of Applied Sciences,"Deventer, Netherlands"
Master in Sport and Exercise Science,LUNEX University,"Differdange, Luxembourg"
Master in International Business,Politécnico de Leiria,"Leiria, Portugal"
Master's Program in Geoengineering,Aalto University,"Espoo, Finland"
Master in Marketing,Universidade de Aveiro,"Aveiro, Portugal"
Master of Engineering: Energy,KU Leuven,"Leuven, Belgium"
Master of Advanced Studies in Philosophy,Universidad de Valladolid,"Valladolid, Spain"
Global Master in Finance,IE University,Multiple (2)
Master of Commerce (MCom) in Accounting,University of Otago,"Dunedin, New Zealand"
Master of Nursing Science (MNSc),University of Otago,"Dunedin, New Zealand"
Master of Public Health,Charles Darwin University,"Darwin, Australia"
Master of General Practice (MGP),University of Otago,"Dunedin, New Zealand"
Master in Digital Marketing,IE University,"Madrid, Spain"
Master's Program in Chemistry and Molecular Sciences,University of Helsinki,"Helsinki, Finland"
Masters in Sustainable Development,SLU - Swedish University of Agricultural Sciences,"Uppsala, Sweden"
Master of Teaching Primary,Charles Darwin University,"Palmerston, Australia"
Master of Western Literature,KU Leuven,"Leuven, Belgium"
Masters in Mechatronics,VSB - Technical University of Ostrava,"Ostrava, Czech Republic"
Master of Social Work (Qualifying),Charles Darwin University,"Darwin, Australia"
Master of Accounting and Finance (MAccFin),University of Otago,"Dunedin, New Zealand"
Master Robotics Systems Engineering,Saxion University of Applied Sciences,"Enschede, Netherlands"
Master's Program in Changing Education,University of Helsinki,"Helsinki, Finland"
Master in Interior Architecture,Zuyd University of Applied Sciences,"Maastricht, Netherlands"
Master in International Development,IE University,"Madrid, Spain"
Master's Programme in Economics,Hanken School of Economics,"Helsinki, Finland"
Master of Education (M.Ed.),University of Essex Online,"Essex, England"
Master in Management (part time),WHU - Otto Beisheim School of Management,"Vallendar, Germany"
Masters in Landscape Architecture and Planning,Latvia University of Life Sciences and Technologies,"Jelgava, Latvia"
Master in Synthetic and Industrial Chemistry,Universidad de Valladolid,"Valladolid, Spain"
Master of Theology and Religious Studies,KU Leuven,"Leuven, Belgium"
Masters in Food and Landscape,SLU - Swedish University of Agricultural Sciences,"Alnarp, Sweden"
Master in Graphic Design,Politécnico de Leiria,"Caldas da Rainha, Portugal"
Master's Program in Film and Television - Screenwriting,Aalto University,"Espoo, Finland"
Master in Structural Engineering,Vilnius Gediminas Technical University,"Vilnius, Lithuania"
Master of Health Sciences (MHealSc),University of Otago,"Dunedin, New Zealand"
Master in Architecture,Kaunas University of Technology,"Kaunas, Lithuania"
Master in Environmental Engineering,Universidad de Valladolid,"Valladolid, Spain"
Master of Laws (LLM),KU Leuven,"Leuven, Belgium"
